iter: 1860   # psnr: 27.7863  # ssim: 0.9560  
iter: 1870   # psnr: 28.6902  # ssim: 0.9618  
iter: 1880   # psnr: 27.6441  # ssim: 0.9574  
iter: 1890   # psnr: 27.5502  # ssim: 0.9626  
iter: 1900   # psnr: 27.2581  # ssim: 0.9577  
iter: 1910   # psnr: 28.3073  # ssim: 0.9626  
iter: 1920   # psnr: 28.1691  # ssim: 0.9603  
iter: 1930   # psnr: 27.4034  # ssim: 0.9598  
iter: 1940   # psnr: 27.8386  # ssim: 0.9528  
iter: 1950   # psnr: 28.1837  # ssim: 0.9617  
iter: 1960   # psnr: 28.5298  # ssim: 0.9588  
iter: 1970   # psnr: 27.1749  # ssim: 0.9597  
iter: 1980   # psnr: 28.3363  # ssim: 0.9605  
iter: 1990   # psnr: 27.9512  # ssim: 0.9621  
iter: 2000   # psnr: 28.4780  # ssim: 0.9620  
iter: 2010   # psnr: 28.0845  # ssim: 0.9622  
iter: 2020   # psnr: 28.2057  # ssim: 0.9627  
iter: 2030   # psnr: 28.6806  # ssim: 0.9654  
iter: 2040   # psnr: 28.7273  # ssim: 0.9655  
iter: 2050   # psnr: 27.3772  # ssim: 0.9589  
iter: 2060   # psnr: 27.9818  # ssim: 0.9593  
iter: 2070   # psnr: 28.1582  # ssim: 0.9637  
iter: 2080   # psnr: 28.3674  # ssim: 0.9630  
iter: 2090   # psnr: 28.9322  # ssim: 0.9644  
iter: 2100   # psnr: 28.0344  # ssim: 0.9620  
iter: 2110   # psnr: 27.4885  # ssim: 0.9560  
iter: 2120   # psnr: 27.9741  # ssim: 0.9635  
iter: 2130   # psnr: 28.7774  # ssim: 0.9623  
iter: 2140   # psnr: 28.1807  # ssim: 0.9605  
iter: 2150   # psnr: 28.0880  # ssim: 0.9589  
iter: 2160   # psnr: 28.8288  # ssim: 0.9636  
iter: 2170   # psnr: 28.4004  # ssim: 0.9602  
iter: 2180   # psnr: 27.5673  # ssim: 0.9606  
iter: 2190   # psnr: 28.0083  # ssim: 0.9613  
iter: 2200   # psnr: 28.5501  # ssim: 0.9610  
iter: 2210   # psnr: 27.2233  # ssim: 0.9574  
iter: 2220   # psnr: 28.4475  # ssim: 0.9618  
iter: 2230   # psnr: 26.9091  # ssim: 0.9449  
iter: 2240   # psnr: 28.2107  # ssim: 0.9581  
iter: 2250   # psnr: 27.4391  # ssim: 0.9612  
iter: 2260   # psnr: 27.6214  # ssim: 0.9558  
iter: 2270   # psnr: 28.5079  # ssim: 0.9615  
iter: 2280   # psnr: 28.1228  # ssim: 0.9598  
iter: 2290   # psnr: 29.0276  # ssim: 0.9651  
iter: 2300   # psnr: 27.9405  # ssim: 0.9615  
iter: 2310   # psnr: 28.0185  # ssim: 0.9597  
iter: 2320   # psnr: 27.9169  # ssim: 0.9591  
iter: 2330   # psnr: 28.2714  # ssim: 0.9628  
iter: 2340   # psnr: 28.8034  # ssim: 0.9659  
iter: 2350   # psnr: 28.3416  # ssim: 0.9625  
iter: 2360   # psnr: 28.7082  # ssim: 0.9634  
iter: 2370   # psnr: 27.8044  # ssim: 0.9617  
iter: 2380   # psnr: 27.9974  # ssim: 0.9581  
iter: 2390   # psnr: 29.0518  # ssim: 0.9656  
iter: 2400   # psnr: 29.1761  # ssim: 0.9665  
iter: 2410   # psnr: 28.6971  # ssim: 0.9628  
iter: 2420   # psnr: 29.4397  # ssim: 0.9648  
iter: 2430   # psnr: 27.8818  # ssim: 0.9612  
iter: 2440   # psnr: 29.1772  # ssim: 0.9658  
iter: 2450   # psnr: 28.7512  # ssim: 0.9605  
iter: 2460   # psnr: 28.2169  # ssim: 0.9624  
iter: 2470   # psnr: 28.5670  # ssim: 0.9660  
iter: 2480   # psnr: 26.9828  # ssim: 0.9553  
iter: 2490   # psnr: 28.1078  # ssim: 0.9604  
iter: 2500   # psnr: 28.6227  # ssim: 0.9613  
iter: 2510   # psnr: 28.2317  # ssim: 0.9621  
iter: 2520   # psnr: 28.1493  # ssim: 0.9614  
iter: 2530   # psnr: 27.2980  # ssim: 0.9588  
iter: 2540   # psnr: 28.5038  # ssim: 0.9645  
iter: 2550   # psnr: 28.7872  # ssim: 0.9631  
iter: 2560   # psnr: 28.8103  # ssim: 0.9658  
iter: 2570   # psnr: 29.2788  # ssim: 0.9649  
iter: 2580   # psnr: 27.1798  # ssim: 0.9555  
iter: 2590   # psnr: 28.5339  # ssim: 0.9654  
iter: 2600   # psnr: 28.3836  # ssim: 0.9643  
iter: 2610   # psnr: 28.3506  # ssim: 0.9642  
iter: 2620   # psnr: 28.8853  # ssim: 0.9648  
iter: 2630   # psnr: 28.4572  # ssim: 0.9641  
iter: 2640   # psnr: 28.8465  # ssim: 0.9637  
iter: 2650   # psnr: 28.1477  # ssim: 0.9639  
iter: 2660   # psnr: 28.3183  # ssim: 0.9561  
iter: 2670   # psnr: 28.9932  # ssim: 0.9643  
iter: 2680   # psnr: 28.6661  # ssim: 0.9657  
iter: 2690   # psnr: 28.9427  # ssim: 0.9662  
iter: 2700   # psnr: 28.6531  # ssim: 0.9661  
iter: 2710   # psnr: 29.4708  # ssim: 0.9658  
iter: 2720   # psnr: 29.1044  # ssim: 0.9664  
iter: 2730   # psnr: 28.9940  # ssim: 0.9673  
iter: 2740   # psnr: 28.9916  # ssim: 0.9648  
iter: 2750   # psnr: 28.6599  # ssim: 0.9650  
iter: 2760   # psnr: 29.2216  # ssim: 0.9646  
iter: 2770   # psnr: 28.5406  # ssim: 0.9651  
iter: 2780   # psnr: 28.3026  # ssim: 0.9665  
iter: 2790   # psnr: 28.1767  # ssim: 0.9605  
iter: 2800   # psnr: 28.1225  # ssim: 0.9604  
iter: 2810   # psnr: 27.3837  # ssim: 0.9636  
iter: 2820   # psnr: 27.2097  # ssim: 0.9550  
iter: 2830   # psnr: 28.8007  # ssim: 0.9655  
iter: 2840   # psnr: 28.5105  # ssim: 0.9656  
iter: 2850   # psnr: 28.2060  # ssim: 0.9660  
iter: 2860   # psnr: 27.7750  # ssim: 0.9628  
iter: 2870   # psnr: 28.9972  # ssim: 0.9668  
iter: 2880   # psnr: 28.5318  # ssim: 0.9614  
iter: 2890   # psnr: 28.4204  # ssim: 0.9659  
iter: 2900   # psnr: 29.2682  # ssim: 0.9704  
iter: 2910   # psnr: 28.2363  # ssim: 0.9642  
iter: 2920   # psnr: 28.3576  # ssim: 0.9671  
iter: 2930   # psnr: 28.5636  # ssim: 0.9571  
iter: 2940   # psnr: 28.4961  # ssim: 0.9643  
iter: 2950   # psnr: 28.4598  # ssim: 0.9632  
iter: 2960   # psnr: 27.8298  # ssim: 0.9634  
iter: 2970   # psnr: 27.9074  # ssim: 0.9612  
iter: 2980   # psnr: 29.1749  # ssim: 0.9664  
iter: 2990   # psnr: 28.6541  # ssim: 0.9615  
iter: 3000   # psnr: 28.9047  # ssim: 0.9665  
iter: 3010   # psnr: 28.0290  # ssim: 0.9570  
iter: 3020   # psnr: 29.7772  # ssim: 0.9684  
iter: 3030   # psnr: 28.9732  # ssim: 0.9669  
iter: 3040   # psnr: 27.7372  # ssim: 0.9614  
iter: 3050   # psnr: 27.7852  # ssim: 0.9579  
iter: 3060   # psnr: 27.1294  # ssim: 0.9609  
iter: 3070   # psnr: 28.3162  # ssim: 0.9600  
iter: 3080   # psnr: 28.1810  # ssim: 0.9633  
iter: 3090   # psnr: 27.7500  # ssim: 0.9513  
iter: 3100   # psnr: 29.1973  # ssim: 0.9680  
iter: 3110   # psnr: 29.6902  # ssim: 0.9695  
iter: 3120   # psnr: 29.4915  # ssim: 0.9701  
iter: 3130   # psnr: 27.8764  # ssim: 0.9614  
iter: 3140   # psnr: 29.2203  # ssim: 0.9669  
iter: 3150   # psnr: 28.3965  # ssim: 0.9649  
iter: 3160   # psnr: 28.0416  # ssim: 0.9635  
iter: 3170   # psnr: 29.1494  # ssim: 0.9671  
iter: 3180   # psnr: 28.5876  # ssim: 0.9653  
iter: 3190   # psnr: 27.8594  # ssim: 0.9620  
iter: 3200   # psnr: 29.2436  # ssim: 0.9685  
iter: 3210   # psnr: 27.4011  # ssim: 0.9572  
iter: 3220   # psnr: 28.6440  # ssim: 0.9647  
iter: 3230   # psnr: 27.8389  # ssim: 0.9625  
iter: 3240   # psnr: 28.4858  # ssim: 0.9642  
iter: 3250   # psnr: 27.9841  # ssim: 0.9583  
iter: 3260   # psnr: 29.1689  # ssim: 0.9679  
iter: 3270   # psnr: 28.9164  # ssim: 0.9691  
iter: 3280   # psnr: 28.9867  # ssim: 0.9677  
iter: 3290   # psnr: 28.5896  # ssim: 0.9641  
iter: 3300   # psnr: 29.0808  # ssim: 0.9646  
iter: 3310   # psnr: 28.7067  # ssim: 0.9663  
iter: 3320   # psnr: 28.2462  # ssim: 0.9638  
iter: 3330   # psnr: 29.1886  # ssim: 0.9678  
iter: 3340   # psnr: 28.8940  # ssim: 0.9619  
iter: 3350   # psnr: 29.2084  # ssim: 0.9664  
iter: 3360   # psnr: 29.3899  # ssim: 0.9653  
iter: 3370   # psnr: 29.1000  # ssim: 0.9638  
iter: 3380   # psnr: 29.6342  # ssim: 0.9676  
iter: 3390   # psnr: 29.2129  # ssim: 0.9643  
iter: 3400   # psnr: 28.1638  # ssim: 0.9603  
iter: 3410   # psnr: 29.3455  # ssim: 0.9660  
iter: 3420   # psnr: 28.9195  # ssim: 0.9640  
iter: 3430   # psnr: 29.1417  # ssim: 0.9644  
iter: 3440   # psnr: 29.1652  # ssim: 0.9671  
iter: 3450   # psnr: 29.2279  # ssim: 0.9659  
iter: 3460   # psnr: 28.5227  # ssim: 0.9622  
iter: 3470   # psnr: 28.6472  # ssim: 0.9645  
iter: 3480   # psnr: 28.2578  # ssim: 0.9625  
iter: 3490   # psnr: 28.6111  # ssim: 0.9646  
iter: 3500   # psnr: 27.4737  # ssim: 0.9506  
